FirmID,output
4333162,153.162013
6318381,187.533607
7525727,513.446752
4970852,174.621354
4634617,337.367996
4333162,147.282543
6318381,187.667259
7525727,502.564994
4970852,168.983120
4634617,323.275651
4333162,147.517667
6318381,187.277234
7525727,504.864133
4970852,175.014508
4634617,323.247400
4333162,146.942395
6318381,189.161286
7525727,503.900747
4970852,184.115538
4634617,328.100241
4333162,155.037545
6318381,183.263676
7525727,503.470510
4970852,180.094461
4634617,334.316548
4333162,159.481009
6318381,194.084268
7525727,499.280739
4970852,190.031830
4634617,350.072755
4333162,160.526329
6318381,189.709609
7525727,492.590947
4970852,182.536816
4634617,346.358039
4333162,159.864251
6318381,196.861840
7525727,500.415714
4970852,182.972849
4634617,347.964903
4333162,162.823457
6318381,207.224373
7525727,506.962335
4970852,179.721592
4634617,355.271179
4333162,158.969700
6318381,210.544985
7525727,504.298229
4970852,194.245241
4634617,370.102659
4333162,149.646626
6318381,212.186109
7525727,514.675617
4970852,201.480460
4634617,365.656247
4333162,154.181981
6318381,210.815615
7525727,507.584491
4970852,197.952304
4634617,369.626027
4333162,147.027381
6318381,217.934939
7525727,512.385324
4970852,201.627765
4634617,380.550099
4333162,149.464912
6318381,220.592624
7525727,505.689636
4970852,200.150231
4634617,363.187514
4333162,141.870747
6318381,230.540809
7525727,504.501170
4970852,197.550826
4634617,363.682788
4333162,127.178939
6318381,233.682305
7525727,496.433305
4970852,201.985429
4634617,369.142180
4333162,122.239811
6318381,226.221225
7525727,497.635441
4970852,209.121376
4634617,366.985111
4333162,132.405534
6318381,218.550497
7525727,507.546015
4970852,212.889247
4634617,377.836535
4333162,142.285793
6318381,216.116032
7525727,511.194876
4970852,206.308379
4634617,374.025010
4333162,146.563091
6318381,211.416508
7525727,504.709942
4970852,211.428740
4634617,359.139099
4333162,135.078670
6318381,219.292987
7525727,505.663773
4970852,211.373867
4634617,373.671328
4333162,124.551352
6318381,218.788012
7525727,499.278273
4970852,219.075662
4634617,372.552790
4333162,127.178791
6318381,212.016122
7525727,483.092599
4970852,228.641531
4634617,375.021702
4333162,140.560448
6318381,204.513037
7525727,474.410663
4970852,227.736528
